,AAPL,ADBE,AMZN,BAC,CMCSA,CSCO,CVX,DIS,GOOG,HD,INTC,JNJ,JPM,KO,MA,MSFT,NFLX,NKE,NVDA,ORCL,PFE,PG,T,TM,TSLA,UNH,V,VZ,WMT,XOM
MAE,6.08233930753625,27.249063602392223,152.22313347415647,0.7121090750763381,1.1540550149005393,1.0909832214963608,1.506897214530171,2.923402648041214,44.16387939453125,7.6435317440309385,1.0007089048192122,1.5629243021425994,2.0686877706776494,1.2862170260885488,13.830047800921012,29.952204358750496,10.743837439495584,2.945351165273915,33.89082018534342,1.1635159685991812,0.4295665664949279,5.58661973649177,0.42286658978116687,1.5349681135536968,53.74226200941837,9.845496633778447,8.07476378178251,1.3116297238114951,6.7706089296202725,2.351187284441962
MSE,115.71428829313987,1708.223237848976,62906.23302851126,0.7977948356871913,2.186829314113706,1.8385848354061793,5.281855558395166,19.04774044826437,4227.233425470649,95.30040784053963,2.2170324579056677,4.871415038606505,8.615850323951209,2.7026004698273556,297.977503958825,1841.8403616214637,228.10949253025498,23.65223439188984,3673.9299323977175,2.400071915375678,0.35805820314346315,51.25139977848733,0.3495759319135436,4.5529709681822155,13796.336584974846,168.79535562076447,99.61698190318661,2.2849358621426052,81.80275225373506,11.449520458841555
RMSE,10.757057603877552,41.33065736047487,250.81115012796235,0.893193616013455,1.4787931951810254,1.3559442596973443,2.298228787217488,4.364371712888852,65.01717792607312,9.762192778292162,1.4889702676365528,2.2071282333852977,2.9352768734739842,1.6439587798443596,17.26202490899677,42.9166676434863,15.103294095337446,4.8633562888081565,60.61295185352482,1.5492165488967893,0.5983796480023892,7.159008295740922,0.5912494667342573,2.1337691928093383,117.45780767992754,12.992126678137204,9.980830722098567,1.5116004307165982,9.044487395852519,3.3837140037008973
MAPE,6.075117922886695,6.547429621349152,5.424486044496339,2.658112187718481,2.705202548895666,2.3953101970567747,1.7318450802209415,2.2106518527975094,3.022167331591314,3.283491446855856,1.939816435552132,1.1603204190577485,2.021498502397671,2.5727157143047186,4.66019240616945,15.881962114499121,2.6274955724415485,2.742138572627554,8.082624403783873,2.157669241052878,1.2731241073797992,4.537092167448272,1.4129669827990374,1.1781039734837797,13.721708734635188,3.416432217219873,4.307582415312714,2.3704079335322787,5.364874311064599,5.878538646463832
MPE,5.413071659245981,6.089901914043954,4.614772356988171,1.7273754125365477,2.3232567976993153,1.6535909332227816,-0.3903470439997059,1.3305145533812273,2.32736493935239,2.933072963555798,0.43440013462738536,0.5079228989444526,-0.5319981110019314,2.1341903331038146,4.239240063742485,15.636132811114928,1.1462531225250323,2.0609915234244034,5.501165840800905,1.526748549869733,-0.3185497816630145,4.383913530489032,0.30222697020438355,0.3281487613480446,12.14439543876038,2.863236995440212,3.962579826926523,2.189824210711925,5.234602837784013,5.358809389283883
