,ADBE,SPOT,BJ,DIS,FB,BABA,LOW,NLS,SONO,NEM
MAE,0.03463766723871231,0.06974269449710846,0.027943052351474762,0.015143043361604214,0.023231325671076775,0.02925027161836624,0.028873085975646973,0.01457706093788147,0.03181447833776474,0.047523703426122665
MSE,0.0033224537037312984,0.006959524471312761,0.0013893955620005727,0.0006598539184778929,0.0012128286762163043,0.001920917653478682,0.0021347857546061277,0.0005683649214915931,0.002441770862787962,0.00442533241584897
RMSE,0.05764073133468628,0.08342376351356506,0.037274595350027084,0.025687621906399727,0.03482569009065628,0.04382827505469322,0.04620373994112015,0.02384040504693985,0.04941427707672119,0.06652317196130753
MAPE,4.501147195696831,10.177360475063324,3.617667034268379,2.293289825320244,3.052864968776703,3.9402149617671967,3.943156823515892,inf,5.589637905359268,6.949865072965622
MPE,3.3217642456293106,-4.819159209728241,-0.26964019052684307,0.2889276947826147,1.1508261784911156,2.2907856851816177,2.739810198545456,-inf,0.7583515252918005,5.90021088719368
