,ADBE,SPOT,BJ,DIS,FB,BABA,LOW,NLS,SONO,NEM
MAE,0.01732846535742283,0.06654944270849228,0.029324108734726906,0.021108271554112434,0.02294720895588398,0.028800055384635925,0.03084341250360012,0.013604458421468735,0.030445151031017303,0.06128004938364029
MSE,0.0006821607821621001,0.005996027495712042,0.001545463572256267,0.0011884577106684446,0.0011140828719362617,0.0018662293441593647,0.0025736643001437187,0.0005554828676395118,0.0022723902948200703,0.00672537088394165
RMSE,0.026118207722902298,0.07743401825428009,0.03931238502264023,0.03447401523590088,0.03337787836790085,0.04319987818598747,0.050731293857097626,0.023568684235215187,0.04766959324479103,0.08200836181640625
MAPE,2.500157244503498,9.827655553817749,3.79304438829422,3.093496896326542,3.0603375285863876,3.8728762418031693,4.136878252029419,inf,5.3430721163749695,9.190870076417923
MPE,1.5228388831019402,-5.353843048214912,-1.1407041922211647,0.8185523562133312,0.8166498504579067,2.3130271583795547,2.8496015816926956,-inf,0.7498683407902718,8.739881962537766
