,AAPL,ADBE,AMZN,BAC,CMCSA,CSCO,CVX,DIS,GOOG,HD,INTC,JNJ,JPM,KO,MA,MSFT,NFLX,NKE,NVDA,ORCL,PFE,PG,T,TM,TSLA,UNH,V,VZ,WMT,XOM
MAE,0.05547893047332764,0.03253151848912239,0.01688307896256447,0.016803773120045662,0.014667670242488384,0.015086834318935871,0.02194409817457199,0.014352702535688877,0.01834203489124775,0.01522853970527649,0.016206610947847366,0.012156343087553978,0.01884518563747406,0.015573798678815365,0.019100703299045563,0.04216238111257553,0.014030725695192814,0.020587708801031113,0.021489840000867844,0.015111126936972141,0.013156073167920113,0.037162669003009796,0.015618952922523022,0.012525004334747791,0.033234234899282455,0.015668194741010666,0.014510732144117355,0.010855115018785,0.021644292399287224,0.019736478105187416
MSE,0.010326647199690342,0.002997849602252245,0.0006899861618876457,0.0005306234234012663,0.0003999028413090855,0.000446734600700438,0.0010332526871934533,0.0004892464494332671,0.0009921853197738528,0.00048636284191161394,0.0006581870838999748,0.0003616298199631274,0.0006787895690649748,0.0005225962377153337,0.000734540109988302,0.004526068922132254,0.0003701126261148602,0.0011569393100216985,0.0012905839830636978,0.0005112398648634553,0.0003482637694105506,0.003119474044069648,0.0005483258282765746,0.0003223251551389694,0.005718535743653774,0.0004975263145752251,0.0004129806475248188,0.00024198276514653116,0.0012627254473045468,0.0006944530759938061
RMSE,0.10162011533975601,0.05475262179970741,0.026267588138580322,0.023035265505313873,0.019997570663690567,0.021136097609996796,0.032144248485565186,0.022118916735053062,0.031498972326517105,0.022053634747862816,0.02565515786409378,0.0190165676176548,0.026053590700030327,0.022860363125801086,0.027102399617433548,0.06727606803178787,0.019238311797380447,0.034013811498880386,0.035924699157476425,0.022610614076256752,0.018661826848983765,0.0558522529900074,0.02341635897755623,0.0179534163326025,0.07562100142240524,0.02230529859662056,0.020321926102042198,0.015555795282125473,0.035534847527742386,0.026352478191256523
MAPE,7.707022130489349,4.2489610612392426,2.4129221215844154,2.393619529902935,1.9353719428181648,2.0460374653339386,4.022981226444244,2.213645540177822,2.435782738029957,1.9739685580134392,2.2955497726798058,1.5243366360664368,2.604493126273155,2.049688808619976,2.4527806788682938,5.200627446174622,2.0776448771357536,2.929951809346676,3.6196578294038773,2.1052494645118713,1.7358040437102318,4.523666203022003,2.2607510909438133,1.72800924628973,6.840148568153381,2.0742934197187424,1.810493879020214,1.2790316715836525,2.7742989361286163,inf
MPE,7.271404564380646,3.4219883382320404,1.2951805256307125,-0.348474457859993,0.7701704278588295,0.4993482492864132,0.3203260013833642,1.0694033466279507,1.269601285457611,0.860912911593914,0.15852494398131967,-0.4373788833618164,1.6032274812459946,0.670718727633357,1.100906915962696,4.335260018706322,0.34431801177561283,2.073061652481556,1.754017174243927,0.5821999162435532,0.14978998806327581,3.6910638213157654,0.36676686722785234,0.4640782717615366,4.152403026819229,0.6807213183492422,0.7964987307786942,0.08017034851945937,1.926533691585064,-inf
