,AAPL,ADBE,AMZN,BAC,CMCSA,CSCO,CVX,DIS,GOOG,HD,INTC,JNJ,JPM,KO,MA,MSFT,NFLX,NKE,NVDA,ORCL,PFE,PG,T,TM,TSLA,UNH,V,VZ,WMT,XOM
MAE,0.039281006902456284,0.022137904539704323,0.018478156998753548,0.015191227197647095,0.015690533444285393,0.015427475795149803,0.02165611833333969,0.013196554966270924,0.012839347124099731,0.015766918659210205,0.016302239149808884,0.014256692491471767,0.02364455722272396,0.013489395380020142,0.015433529391884804,0.03390386700630188,0.015215313993394375,0.013701402582228184,0.0266831386834383,0.014485129155218601,0.01289378572255373,0.03029986470937729,0.016000842675566673,0.012621487490832806,0.07898665964603424,0.015458711422979832,0.013095780275762081,0.011371527798473835,0.014854869805276394,0.017134081572294235
MSE,0.005499906837940216,0.0011525251902639866,0.0007991797174327075,0.00048117426922544837,0.00043769003241322935,0.00046605238458141685,0.0010278546251356602,0.0003779996477533132,0.00032910899608395994,0.00043682847172021866,0.0006581887719221413,0.00041833193972706795,0.0009879417484626174,0.00040850459481589496,0.0004824471252504736,0.0027927642222493887,0.000424367404775694,0.0004401064943522215,0.0021397233940660954,0.0004713570815511048,0.00032735298736952245,0.0015262673841789365,0.000557322520762682,0.0003194028395228088,0.029901225119829178,0.0004659652477130294,0.00035165989538654685,0.00025526920217089355,0.0005447801668196917,0.0005235358839854598
RMSE,0.0741613581776619,0.0339488610625267,0.02826976776123047,0.021935684606432915,0.020921042189002037,0.021588247269392014,0.0320601724088192,0.01944221369922161,0.018141360953450203,0.020900441333651543,0.025655189529061317,0.020453164353966713,0.031431540846824646,0.02021149732172489,0.021964678540825844,0.05284661054611206,0.020600179210305214,0.020978715270757675,0.0462571457028389,0.02171075902879238,0.018092898651957512,0.03906747326254845,0.023607678711414337,0.01787184551358223,0.17291970551013947,0.021586228162050247,0.018752597272396088,0.015977146103978157,0.023340526968240738,0.022880906239151955
MAPE,5.458124727010727,3.0950939282774925,2.6171110570430756,2.1817760542035103,2.0701464265584946,2.0568521693348885,4.019172117114067,2.1232660859823227,1.8567409366369247,2.2044025361537933,2.31612678617239,1.7988026142120361,3.2365135848522186,1.8228530883789062,2.0403245463967323,4.26325723528862,2.2391125559806824,2.092108689248562,4.204581305384636,2.0418327301740646,1.7037976533174515,4.048829153180122,2.3099523037672043,1.74667090177536,14.21971321105957,2.0675836130976677,1.6611374914646149,1.3380014337599277,2.001800388097763,inf
MPE,4.541970044374466,2.2070249542593956,1.6300978139042854,0.24000280536711216,1.0130645707249641,0.3506078151986003,0.2666285028681159,-0.7416101638227701,0.5626210477203131,-0.40091476403176785,0.2585184760391712,-1.1006643064320087,2.217273972928524,0.23789939004927874,0.7099960930645466,3.4213602542877197,-0.08573836530558765,0.45036161318421364,2.393806539475918,0.47888089902698994,-0.25479416362941265,3.606674075126648,0.43856273405253887,0.3332088468596339,11.89027652144432,1.0267729870975018,0.44096107594668865,0.4489113576710224,1.0740548372268677,-inf
