,AAPL,ADBE,AMZN,BAC,CMCSA,CSCO,CVX,DIS,GOOG,HD,INTC,JNJ,JPM,KO,MA,MSFT,NFLX,NKE,NVDA,ORCL,PFE,PG,T,TM,TSLA,UNH,V,VZ,WMT,XOM
MAE,0.05475115403532982,0.017556101083755493,0.02339935302734375,0.0202126856893301,0.012178689241409302,0.015813883394002914,0.02221793681383133,0.017429441213607788,0.01464974693953991,0.021799864247441292,0.015803134068846703,0.011890302412211895,0.017686132341623306,0.01778370700776577,0.015930313616991043,0.03711889311671257,0.015603584237396717,0.032952990382909775,0.0278188344091177,0.02249649539589882,0.0133899487555027,0.03436438366770744,0.014961705543100834,0.012062793597579002,0.015791408717632294,0.016529643908143044,0.011943587101995945,0.012171327136456966,0.015333559364080429,0.016888096928596497
MSE,0.01022628229111433,0.000630702415946871,0.0012554570566862822,0.0007112809107638896,0.00028538843616843224,0.00047441021888516843,0.0009751389152370393,0.0005862019606865942,0.00042431504698470235,0.0007855165749788284,0.0006175361922942102,0.00033827609149739146,0.0006036018021404743,0.0006139489123597741,0.000512746802996844,0.003500509774312377,0.0004660984850488603,0.0015127279330044985,0.0023290496319532394,0.0007918607443571091,0.0003577073512133211,0.0026044726837426424,0.0005208091461099684,0.0003046635538339615,0.0013290648348629475,0.000560348853468895,0.0003084231575485319,0.0002711807319428772,0.0005358302732929587,0.0005302108475007117
RMSE,0.1011250838637352,0.02511378936469555,0.03543242812156677,0.026669850572943687,0.01689344272017479,0.021780960261821747,0.031227214261889458,0.02421160787343979,0.02059890888631344,0.028027068823575974,0.024850275367498398,0.018392283469438553,0.024568308144807816,0.024777991697192192,0.022643912583589554,0.0591651052236557,0.021589314565062523,0.03889380395412445,0.04826022684574127,0.02814001962542534,0.018913153558969498,0.05103403329849243,0.022821243852376938,0.017454614862799644,0.03645634278655052,0.02367168851196766,0.017561979591846466,0.016467565670609474,0.023148007690906525,0.02302630804479122
MAPE,7.543954998254776,2.5852300226688385,3.2753683626651764,2.8252724558115005,1.6429545357823372,2.104160375893116,3.9879079908132553,2.694277837872505,2.074149437248707,2.8230469673871994,2.2523727267980576,1.4944596216082573,2.4366598576307297,2.329600416123867,2.1035702899098396,4.600826650857925,2.242526598274708,5.172806605696678,4.358071833848953,3.1034590676426888,1.766572892665863,4.230488836765289,2.176482416689396,1.6760734841227531,4.171760752797127,2.1779222413897514,1.536891609430313,1.4290490187704563,2.096875198185444,inf
MPE,6.918734312057495,1.7311055213212967,1.4409665018320084,1.794499158859253,0.45365537516772747,0.6699493154883385,-0.11239496525377035,1.6493355855345726,1.0016337968409061,2.2734729573130608,0.17646958585828543,-0.39163343608379364,1.3596433214843273,1.3118487782776356,0.7220119703561068,3.6348018795251846,0.730002811178565,4.873519763350487,2.437332458794117,2.355087175965309,0.37470925599336624,3.151477128267288,0.035381532507017255,-0.3121833084151149,1.1136929504573345,0.5884280893951654,0.15599988400936127,0.519299553707242,1.4193159528076649,-inf
