,ADBE,SPOT,BJ,DIS,FB,BABA,LOW,NLS,SONO,NEM
MAE,0.03714720159769058,0.06464235484600067,0.027506157755851746,0.018593715503811836,0.019688474014401436,0.0306827574968338,0.029828762635588646,0.024212829768657684,0.029993031173944473,0.043527111411094666
MSE,0.0037766285240650177,0.0056789591908454895,0.0013427570229396224,0.0008906595758162439,0.0007940743234939873,0.002106319647282362,0.0020491646137088537,0.0013432068517431617,0.00221336935646832,0.0037797840777784586
RMSE,0.06145428121089935,0.07535886764526367,0.03664365038275719,0.029843920841813087,0.02817932516336441,0.04589465633034706,0.045267701148986816,0.036649785935878754,0.04704646021127701,0.061479948461055756
MAPE,4.83040064573288,9.518218040466309,3.54144424200058,2.730640210211277,2.7108101174235344,4.108809307217598,4.1910286992788315,inf,5.277716740965843,6.348243355751038
MPE,4.1518379002809525,-5.102412402629852,-0.23922682739794254,1.1707814410328865,0.14393909368664026,2.1277107298374176,2.30526439845562,inf,1.1771509423851967,5.464519560337067
